Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1961","1961","t","12021","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1961","1961","t","43043","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","t","55064","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","1.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1961","1961","kg/cap","0.73","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1961","1961","g/Int$","1.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1962","1962","t","12926","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1962","1962","t","37358","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","t","50284","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","1.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1962","1962","kg/cap","0.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1962","1962","g/Int$","1.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1963","1963","t","13452","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1963","1963","t","48609","A","Official figure","Official data from questionnaire"
