Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1961","1961","t","712000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1961","1961","kg/ha","6.765","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1961","1961","t","58860","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1961","1961","kg/ha","0.5593","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1961","1961","t","19090","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1961","1961","kg/ha","0.1814","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1962","1962","t","854000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1962","1962","kg/ha","8.1333","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1962","1962","t","61476","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1962","1962","kg/ha","0.5855","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1962","1962","t","13944","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1962","1962","kg/ha","0.1328","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1963","1963","t","945000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1963","1963","kg/ha","9.0125","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1963","1963","t","94176","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1963","1963","kg/ha","0.8982","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1963","1963","t","16600","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1963","1963","kg/ha","0.1583","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1964","1964","t","1053500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1964","1964","kg/ha","10.0615","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1964","1964","t","157832","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1964","1964","kg/ha","1.5074","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1964","1964","t","18675","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1964","1964","kg/ha","0.1784","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1965","1965","t","1580500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1965","1965","kg/ha","15.1231","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1965","1965","t","308034","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1965","1965","kg/ha","2.9474","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1965","1965","t","25730","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1965","1965","kg/ha","0.2462","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1966","1966","t","2260500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1966","1966","kg/ha","21.7122","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1966","1966","t","421830","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1966","1966","kg/ha","4.0517","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1966","1966","t","30710","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1966","1966","kg/ha","0.295","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1967","1967","t","1795000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1967","1967","kg/ha","17.307","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1967","1967","t","280130","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1967","1967","kg/ha","2.701","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1967","1967","t","37765","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1967","1967","kg/ha","0.3641","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1968","1968","t","2188500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1968","1968","kg/ha","21.1832","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1968","1968","t","193802","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1968","1968","kg/ha","1.8759","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1968","1968","t","42745","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1968","1968","kg/ha","0.4137","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1969","1969","t","2566500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1969","1969","kg/ha","24.9349","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1969","1969","t","325038","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1969","1969","kg/ha","3.1579","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1969","1969","t","37765","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1969","1969","kg/ha","0.3669","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1970","1970","t","3178000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1970","1970","kg/ha","30.9994","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1970","1970","t","404608","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1970","1970","kg/ha","3.9467","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1970","1970","t","47310","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1970","1970","kg/ha","0.4615","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1971","1971","t","3289000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1971","1971","kg/ha","32.193","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1971","1971","t","480036","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1971","1971","kg/ha","4.6986","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1971","1971","t","40421","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1971","1971","kg/ha","0.3956","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1972","1972","t","3775500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1972","1972","kg/ha","37.0943","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1972","1972","t","565753.6","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1972","1972","kg/ha","5.5585","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1972","1972","t","40670","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1972","1972","kg/ha","0.3996","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1973","1973","t","4338000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1973","1973","kg/ha","42.7861","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1973","1973","t","791950.4","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1973","1973","kg/ha","7.8111","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1973","1973","t","160190","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1973","1973","kg/ha","1.58","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1974","1974","t","3747000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1974","1974","kg/ha","36.7249","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1974","1974","t","683800.6","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1974","1974","kg/ha","6.702","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1974","1974","t","148985","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1974","1974","kg/ha","1.4602","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1975","1975","t","4912000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1975","1975","kg/ha","48.8091","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1975","1975","t","732610.8","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1975","1975","kg/ha","7.2797","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1975","1975","t","117445","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1975","1975","kg/ha","1.167","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1976","1976","t","5227500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1976","1976","kg/ha","51.9977","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1976","1976","t","681250","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1976","1976","kg/ha","6.7764","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1976","1976","t","109975","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1976","1976","kg/ha","1.0939","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1977","1977","t","7374000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1977","1977","kg/ha","73.4253","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7280","Cropland phosphorus","5087","Mineral fertilizers","1977","1977","t","847954.6","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1977","1977","kg/ha","8.4434","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7282","Cropland potassium","5087","Mineral fertilizers","1977","1977","t","137489.5","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1977","1977","kg/ha","1.369","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7275","Cropland nitrogen","5087","Mineral fertilizers","1978","1978","t","9140000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1978","1978","kg/ha","91.1121","E","Estimated value",""
